name,function,scope,description
cloud,administration,technical,"The cloud administrator creates a supueruser for a cloud account with full access to all settings."
provider,management,commercial,"The provider manager is a commercial contact at a cloud provider and responsible for billing and resource management."
platform,operation,technical,"The Kubernetes operator has the necessary permissions to manage the Kubernetes resources at a cloud provider."
audit,report,security,"tbd"
log,management,security,"tbd"
network,operation,technical,"tbd"
